iter	Passed	Remaining
0	266	799057
1	432	648046
2	559	559366
3	711	532827
4	868	520391
5	1020	509340
6	1177	503394
7	1319	493486
8	1467	487686
9	1638	489987
10	1805	490497
11	1943	483912
12	2095	481529
13	2371	505733
14	2557	508982
15	2719	507247
16	2831	496765
17	2972	492459
18	3131	491314
19	3272	487584
20	3420	485194
21	3518	476320
22	3577	463112
23	3706	459602
24	3834	456271
25	3962	453243
26	4101	451607
27	4275	453795
28	4357	446468
29	4447	440258
30	4545	435375
31	4643	430684
32	4743	426504
33	4766	415786
34	4852	411078
35	4981	410132
36	5119	409998
37	5254	409563
38	5402	410165
39	5534	409540
40	5664	408846
41	5775	406755
42	5848	402189
43	5977	401576
44	6086	399710
45	6186	397312
46	6274	394236
47	6378	392306
48	6425	386943
49	6439	379903
50	6532	377736
51	6627	375707
52	6726	374043
53	6826	372436
54	6849	366751
55	6935	364600
56	7033	363155
57	7120	361178
58	7209	359365
59	7302	357807
60	7390	356052
61	7476	354303
62	7558	352347
63	7643	350653
64	7729	349025
65	7811	347236
66	7894	345611
67	7985	344314
68	8069	342776
69	8157	341441
70	8246	340188
71	8396	341463
72	8530	342019
73	8565	338699
74	8707	339579
75	8799	338552
76	8898	337799
77	9013	337650
78	9141	337999
79	9243	337391
80	9329	336220
81	9413	334973
82	9498	333835
83	9586	332792
84	9672	331720
85	9753	330494
86	9835	329324
87	9920	328269
88	10007	327335
89	10094	326374
90	10181	325478
91	10272	324693
92	10351	323582
93	10435	322627
94	10525	321851
95	10607	320872
96	10688	319897
97	10779	319203
98	10859	318229
99	10944	317386
100	11027	316535
101	11108	315622
102	11204	315141
103	11301	314711
104	11388	314002
105	11476	313327
106	11561	312601
107	11645	311839
108	11733	311214
109	11815	310427
110	11876	309102
111	11956	308316
112	12044	307728
113	12130	307094
114	12219	306544
115	12306	305961
116	12407	305726
117	12490	305066
118	12574	304434
119	12663	303927
120	12748	303336
121	12842	302957
122	12884	301367
123	12971	300862
124	13057	300311
125	13101	298834
126	13182	298207
127	13286	298116
128	13367	297494
129	13451	296978
130	13536	296453
131	13631	296175
132	13715	295650
133	13795	295052
134	13877	294515
135	13963	294054
136	14052	293671
137	14145	293370
138	14252	293346
139	14330	292761
140	14414	292283
141	14496	291777
142	14586	291423
143	14672	290995
144	14767	290765
145	14851	290319
146	14931	289798
147	15013	289307
148	15100	288940
149	15188	288586
150	15286	288418
151	15369	287983
152	15450	287508
153	15534	287090
154	15624	286785
155	15714	286479
156	15784	285831
157	15857	285235
158	15934	284720
159	16010	284185
160	16093	283784
161	16206	283916
162	16292	283574
163	16380	283271
164	16468	282960
165	16561	282737
166	16652	282498
167	16758	282496
168	16852	282300
169	16940	282013
170	16971	280768
171	17057	280463
172	17135	280019
173	17226	279775
174	17306	279379
175	17382	278910
176	17458	278453
177	17535	278014
178	17608	277508
179	17687	277101
180	17762	276645
181	17841	276255
182	17916	275796
183	17943	274618
184	18016	274141
185	18123	274184
186	18192	273663
187	18271	273293
188	18349	272919
189	18425	272497
190	18494	271999
191	18564	271509
192	18638	271076
193	18656	269845
194	18725	269363
195	18797	268918
196	18872	268522
197	18951	268187
198	19022	267749
199	19097	267365
200	19174	267018
201	19254	266697
202	19324	266264
203	19359	265341
204	19396	264456
205	19502	264517
206	19583	264238
207	19668	264012
208	19749	263730
209	19834	263517
210	19937	263532
211	20035	263486
212	20142	263555
213	20237	263460
214	20348	263582
215	20454	263639
216	20687	265318
217	20793	265351
218	20879	265145
219	20967	264956
220	21058	264800
221	21146	264616
222	21228	264352
223	21308	264068
224	21392	263842
225	21472	263564
226	21563	263419
227	21618	262833
228	21702	262611
229	21784	262363
230	21871	262177
231	21955	261955
232	21988	261128
233	22075	260947
234	22160	260740
235	22175	259717
236	22251	259417
237	22333	259176
238	22370	258435
239	22448	258153
240	22530	257927
241	22612	257703
242	22637	256837
243	22718	256611
244	22799	256377
245	22882	256172
246	22966	255978
247	23079	256107
248	23167	255954
249	23252	255780
250	23343	255666
251	23425	255449
252	23505	255220
253	23589	255025
254	23674	254844
255	23759	254674
256	23781	253821
257	23870	253689
258	23908	253021
259	24029	253232
260	24173	253680
261	24298	253925
262	24414	254074
263	24512	254039
264	24617	254075
265	24721	254097
266	24824	254106
267	24975	254597
268	25099	254818
269	25189	254689
270	25224	254017
271	25310	253850
272	25431	254031
273	25522	253916
274	25619	253866
275	25709	253738
276	25794	253572
277	25891	253512
278	25984	253415
279	26077	253324
280	26163	253159
281	26248	252986
282	26335	252843
283	26422	252685
284	26511	252555
285	26596	252390
286	26684	252246
287	26769	252078
288	26866	252026
289	26902	251403
290	26990	251264
291	27090	251234
292	27175	251075
293	27265	250955
294	27355	250837
295	27445	250717
296	27535	250601
297	27629	250516
298	27716	250372
299	27824	250421
300	27919	250344
301	28013	250268
302	28103	250144
303	28189	250000
304	28281	249897
305	28368	249751
306	28480	249832
307	28570	249709
308	28661	249609
309	28754	249514
310	28846	249413
311	28936	249297
312	29032	249236
313	29126	249149
314	29207	248959
315	29306	248917
316	29391	248760
317	29461	248473
318	29534	248220
319	29607	247959
320	29678	247687
321	29755	247468
322	29836	247284
323	29903	246979
324	29983	246788
325	30058	246549
326	30123	246240
327	30198	246005
328	30283	245855
329	30354	245594
330	30423	245319
331	30504	245139
332	30582	244934
333	30656	244702
334	30727	244445
335	30804	244239
336	30880	244021
337	30961	243844
338	31040	243655
339	31127	243524
340	31217	243426
341	31297	243243
342	31384	243114
343	31488	243119
344	31561	242889
345	31643	242719
346	31716	242493
347	31795	242300
348	31872	242100
349	31952	241928
350	32027	241714
351	32100	241484
352	32178	241293
353	32257	241114
354	32333	240909
355	32408	240696
356	32489	240531
357	32567	240341
