level,model,feature,importance
customer,CatBoostClassifier,cart_rate,0.1995895450594128
customer,CatBoostClassifier,recency,0.1858089077048576
customer,CatBoostClassifier,purchase_rate,0.10816481602456132
customer,CatBoostClassifier,total_revenue,0.013200199199292873
customer,CatBoostClassifier,cluster,0.0017623944981843386
customer,CatBoostClassifier,category_mode,0.0005894520848928608
customer,CatBoostClassifier,unique_channels,0.0003879250751364749
customer,CatBoostClassifier,channel_mode,0.00030525628047325395
customer,CatBoostClassifier,time_trend,0.0002957657638018141
customer,CatBoostClassifier,unique_devices,0.00028831940798315083
customer,CatBoostClassifier,device_mode,0.00016512460282764875
customer,CatBoostClassifier,avg_discount,1.1251258364419758e-05
customer,CatBoostClassifier,std_pages,-0.0006075653325162356
customer,CatBoostClassifier,std_time,-0.000677158625584684
customer,CatBoostClassifier,payment_mode,-0.0007940033269374869
customer,CatBoostClassifier,total_discount,-0.0007959263270828854
customer,CatBoostClassifier,unique_payments,-0.0008576208552722342
customer,CatBoostClassifier,avg_time,-0.000891315838119755
customer,CatBoostClassifier,avg_pages,-0.0010098026693857731
customer,CatBoostClassifier,location_mode,-0.0010690466153304378
customer,CatBoostClassifier,pages_trend,-0.0011688163100592285
customer,CatBoostClassifier,sessions,-0.0020166957938747678
customer,CatBoostClassifier,unique_categories,-0.0034316992229348033
session,RandomForestClassifier,cart_efficiency,0.14935319043581408
session,RandomForestClassifier,added_to_cart,0.1491719105124507
session,RandomForestClassifier,visit_month,0.07805114803653647
session,RandomForestClassifier,visit_season,0.029274019833937383
session,RandomForestClassifier,product_category,0.0006351290916156715
session,RandomForestClassifier,discount_percent,0.0006131773618274772
session,RandomForestClassifier,device_type,0.0005018638309928658
session,RandomForestClassifier,user_type,0.00042537855623731025
session,RandomForestClassifier,time_on_site_sec,0.00020613638684582324
session,RandomForestClassifier,location,0.00010747979288538989
session,RandomForestClassifier,marketing_channel,1.758752619632764e-05
session,RandomForestClassifier,engagement_ratio,-3.992162157391288e-05
session,RandomForestClassifier,visit_weekday,-7.821597353679932e-05
session,RandomForestClassifier,pages_viewed,-0.0002553153986863843
session,RandomForestClassifier,payment_method,-0.0003655905433110229
session,RandomForestClassifier,time_per_page,-0.0005739950390052151
